ID_KHABAR,new_ID,khabar.gozari,c.comment
162897,1141599,Khabaronline,110
155106,163323,Fardanews,47
162916,1141618,Khabaronline,187
162929,1141631,Khabaronline,446
177436,943361,Tabnak,0
162959,1141659,Khabaronline,145
177460,943385,Tabnak,0
155142,163358,Fardanews,47
177524,943445,Tabnak,121
163052,1141744,Khabaronline,50
163060,1141752,Khabaronline,136
155177,163393,Fardanews,99
177588,943508,Tabnak,0
177586,943506,Tabnak,10
155186,163402,Fardanews,253
177629,943549,Tabnak,0
163088,1141775,Khabaronline,73
177677,943593,Tabnak,0
177685,943601,Tabnak,48
163115,1141800,Khabaronline,18
163113,1141798,Khabaronline,93
163123,1141806,Khabaronline,413
163158,1141838,Khabaronline,46
155267,163472,Fardanews,25
177862,943776,Tabnak,0
163251,1141920,Khabaronline,0
163349,1142008,Khabaronline,96
155408,163595,Fardanews,92
178108,944012,Tabnak,3
178197,944099,Tabnak,0
163484,1142134,Khabaronline,3
163492,1142140,Khabaronline,8
155531,163703,Fardanews,7
178375,944271,Tabnak,0
178407,944301,Tabnak,0
178455,944346,Tabnak,0
155579,163749,Fardanews,2
163619,1142253,Khabaronline,81
178479,944367,Tabnak,0
163663,1142295,Khabaronline,39
163730,1142358,Khabaronline,51
163803,1142425,Khabaronline,102
178682,944561,Tabnak,0
178690,944569,Tabnak,27
155676,163832,Fardanews,53
178708,944587,Tabnak,0
178947,944820,Tabnak,0
164019,1142618,Khabaronline,11
164094,1142686,Khabaronline,78
155952,164068,Fardanews,49
179588,945427,Tabnak,0
164533,1143086,Khabaronline,62
164752,1143280,Khabaronline,30
156392,164463,Fardanews,1
156441,164503,Fardanews,23
180242,946060,Tabnak,0
181757,947514,Tabnak,0
157294,165257,Fardanews,1
181772,947529,Tabnak,0
166277,1144651,Khabaronline,0
181845,947598,Tabnak,0
157317,165279,Fardanews,4
181884,947637,Tabnak,0
166355,1144720,Khabaronline,6
181917,1144804,Khabaronline,57
166447,947728,Tabnak,0
167556,1145553,Khabaronline,2
167838,1145808,Khabaronline,6
158302,166134,Fardanews,0
168049,1146264,Khabaronline,1
168050,1146265,Khabaronline,10
168101,1146313,Khabaronline,0
168805,1146971,Khabaronline,24
184908,950538,Tabnak,0
160655,168189,Fardanews,0
188456,953969,Tabnak,0
171570,1149505,Khabaronline,13
188521,954031,Tabnak,0
188575,954083,Tabnak,2
188618,954124,Tabnak,0
191437,956850,Tabnak,0
191592,956998,Tabnak,0
162314,169624,Fardanews,2
174206,1151657,Khabaronline,46
162342,169650,Fardanews,51
191638,957043,Tabnak,0
162400,169698,Fardanews,5
174433,1151875,Khabaronline,26
191927,957321,Tabnak,0
174446,1151888,Khabaronline,248
162514,169795,Fardanews,15
162515,169796,Fardanews,1
191934,957327,Tabnak,0
191959,957352,Tabnak,0
191964,957357,Tabnak,0
174465,1151903,Khabaronline,521
175108,1152844,Khabaronline,159
163005,170227,Fardanews,2
192814,958180,Tabnak,0
163057,170269,Fardanews,6
192888,958252,Tabnak,0
192969,958329,Tabnak,0
