132454_fardanews,132453_fardanews=42.0898
122118_khabaronline,132453_fardanews=41.5468
122118_khabaronline,132454_fardanews=53.3423
122126_khabaronline,132453_fardanews=42.3051
122126_khabaronline,132454_fardanews=52.1763
122126_khabaronline,122118_khabaronline=47.561
122137_khabaronline,132453_fardanews=48.1089
122137_khabaronline,132454_fardanews=55.7137
122137_khabaronline,122118_khabaronline=52.2304
122137_khabaronline,122126_khabaronline=55.4644
122140_khabaronline,132453_fardanews=41.9237
122140_khabaronline,132454_fardanews=54.3125
122140_khabaronline,122118_khabaronline=43.426
122140_khabaronline,122126_khabaronline=54.7376
122140_khabaronline,122137_khabaronline=55.5738
132475_fardanews,132453_fardanews=47.1786
132475_fardanews,132454_fardanews=55.3701
132475_fardanews,122118_khabaronline=48.3329
132475_fardanews,122126_khabaronline=55.3565
132475_fardanews,122137_khabaronline=51.8617
132475_fardanews,122140_khabaronline=54.4177
132477_fardanews,132453_fardanews=45.17
132477_fardanews,132454_fardanews=51.1866
132477_fardanews,122118_khabaronline=42.4006
132477_fardanews,122126_khabaronline=47.567
132477_fardanews,122137_khabaronline=52.2709
132477_fardanews,122140_khabaronline=49.7667
132477_fardanews,132475_fardanews=50.9814
132479_fardanews,132453_fardanews=0
132479_fardanews,132454_fardanews=0
132479_fardanews,122118_khabaronline=0
132479_fardanews,122126_khabaronline=0
132479_fardanews,122137_khabaronline=0
132479_fardanews,122140_khabaronline=0
132479_fardanews,132475_fardanews=0
132479_fardanews,132477_fardanews=0
132481_fardanews,132453_fardanews=47.5766
132481_fardanews,132454_fardanews=53.7849
132481_fardanews,122118_khabaronline=44.1023
132481_fardanews,122126_khabaronline=50.3787
132481_fardanews,122137_khabaronline=51.4221
132481_fardanews,122140_khabaronline=53.2946
132481_fardanews,132475_fardanews=51.9219
132481_fardanews,132477_fardanews=40.8503
132481_fardanews,132479_fardanews=-nan
122156_khabaronline,132453_fardanews=46.6232
122156_khabaronline,132454_fardanews=52.9003
122156_khabaronline,122118_khabaronline=42.5294
122156_khabaronline,122126_khabaronline=52.2312
122156_khabaronline,122137_khabaronline=55.2053
122156_khabaronline,122140_khabaronline=51.6566
122156_khabaronline,132475_fardanews=52.1419
122156_khabaronline,132477_fardanews=37.125
122156_khabaronline,132479_fardanews=-nan
122156_khabaronline,132481_fardanews=52.274
132482_fardanews,132453_fardanews=0
132482_fardanews,132454_fardanews=0
132482_fardanews,122118_khabaronline=0
132482_fardanews,122126_khabaronline=0
132482_fardanews,122137_khabaronline=0
132482_fardanews,122140_khabaronline=0
132482_fardanews,132475_fardanews=0
132482_fardanews,132477_fardanews=0
132482_fardanews,132479_fardanews=0
132482_fardanews,132481_fardanews=0
132482_fardanews,122156_khabaronline=0
122158_khabaronline,132453_fardanews=40.7791
122158_khabaronline,132454_fardanews=52.6667
122158_khabaronline,122118_khabaronline=39.6202
122158_khabaronline,122126_khabaronline=52.1175
122158_khabaronline,122137_khabaronline=53.5336
122158_khabaronline,122140_khabaronline=45.4277
122158_khabaronline,132475_fardanews=51.1347
