fardanews-104223	tabnak-87270	26.5271
tabnak-87281	tabnak-87270	27.2907
tabnak-87281	fardanews-104223	31.0501
tabnak-87332	tabnak-87270	22.586
tabnak-87332	fardanews-104223	26.7509
tabnak-87332	tabnak-87281	38.3048
fardanews-104271	tabnak-87270	0
fardanews-104271	fardanews-104223	0
fardanews-104271	tabnak-87281	0
fardanews-104271	tabnak-87332	0
tabnak-87369	tabnak-87270	0
tabnak-87369	fardanews-104223	0
tabnak-87369	tabnak-87281	0
tabnak-87369	tabnak-87332	0
tabnak-87369	fardanews-104271	0
tabnak-87379	tabnak-87270	29.6673
tabnak-87379	fardanews-104223	32.8847
tabnak-87379	tabnak-87281	44.844
tabnak-87379	tabnak-87332	35.2198
tabnak-87379	fardanews-104271	-nan
tabnak-87379	tabnak-87369	-nan
tabnak-87398	tabnak-87270	24.6074
tabnak-87398	fardanews-104223	30.1886
tabnak-87398	tabnak-87281	38.9761
tabnak-87398	tabnak-87332	31.6652
tabnak-87398	fardanews-104271	-nan
tabnak-87398	tabnak-87369	-nan
tabnak-87398	tabnak-87379	38.1496
tabnak-87405	tabnak-87270	46.0649
tabnak-87405	fardanews-104223	47.4165
tabnak-87405	tabnak-87281	52.1981
tabnak-87405	tabnak-87332	47.4065
tabnak-87405	fardanews-104271	-nan
tabnak-87405	tabnak-87369	-nan
tabnak-87405	tabnak-87379	51.1967
tabnak-87405	tabnak-87398	49.8028
fardanews-104296	tabnak-87270	19.4072
fardanews-104296	fardanews-104223	22.069
fardanews-104296	tabnak-87281	37.1062
fardanews-104296	tabnak-87332	24.1212
fardanews-104296	fardanews-104271	-nan
fardanews-104296	tabnak-87369	-nan
fardanews-104296	tabnak-87379	32.1115
fardanews-104296	tabnak-87398	27.5591
fardanews-104296	tabnak-87405	49.7953
fardanews-104298	tabnak-87270	0
fardanews-104298	fardanews-104223	0
fardanews-104298	tabnak-87281	0
fardanews-104298	tabnak-87332	0
fardanews-104298	fardanews-104271	0
fardanews-104298	tabnak-87369	0
fardanews-104298	tabnak-87379	0
fardanews-104298	tabnak-87398	0
fardanews-104298	tabnak-87405	0
fardanews-104298	fardanews-104296	0
tabnak-87430	tabnak-87270	0
tabnak-87430	fardanews-104223	0
tabnak-87430	tabnak-87281	0
tabnak-87430	tabnak-87332	0
tabnak-87430	fardanews-104271	0
tabnak-87430	tabnak-87369	0
tabnak-87430	tabnak-87379	0
tabnak-87430	tabnak-87398	0
tabnak-87430	tabnak-87405	0
tabnak-87430	fardanews-104296	0
tabnak-87430	fardanews-104298	0
tabnak-87427	tabnak-87270	28.4039
tabnak-87427	fardanews-104223	33.4803
tabnak-87427	tabnak-87281	45.6265
tabnak-87427	tabnak-87332	36.8196
tabnak-87427	fardanews-104271	-nan
tabnak-87427	tabnak-87369	-nan
tabnak-87427	tabnak-87379	43.8279
tabnak-87427	tabnak-87398	38.8229
tabnak-87427	tabnak-87405	48.1405
tabnak-87427	fardanews-104296	51.4946
tabnak-87427	fardanews-104298	-nan
tabnak-87427	tabnak-87430	-nan
fardanews-104310	tabnak-87270	0
fardanews-104310	fardanews-104223	0
fardanews-104310	tabnak-87281	0
fardanews-104310	tabnak-87332	0
fardanews-104310	fardanews-104271	0
fardanews-104310	tabnak-87369	0
fardanews-104310	tabnak-87379	0
fardanews-104310	tabnak-87398	0
fardanews-104310	tabnak-87405	0
fardanews-104310	fardanews-104296	0
fardanews-104310	fardanews-104298	0
fardanews-104310	tabnak-87430	0
fardanews-104310	tabnak-87427	0
fardanews-104312	tabnak-87270	22.7288
fardanews-104312	fardanews-104223	25.185
fardanews-104312	tabnak-87281	37.0055
fardanews-104312	tabnak-87332	26.0434
fardanews-104312	fardanews-104271	-nan
fardanews-104312	tabnak-87369	-nan
fardanews-104312	tabnak-87379	37.1243
fardanews-104312	tabnak-87398	30.0382
fardanews-104312	tabnak-87405	53.6272
fardanews-104312	fardanews-104296	44.0704
fardanews-104312	fardanews-104298	-nan
fardanews-104312	tabnak-87430	-nan
fardanews-104312	tabnak-87427	43.4829
fardanews-104312	fardanews-104310	-nan
fardanews-104327	tabnak-87270	0
fardanews-104327	fardanews-104223	0
fardanews-104327	tabnak-87281	0
fardanews-104327	tabnak-87332	0
fardanews-104327	fardanews-104271	0
fardanews-104327	tabnak-87369	0
fardanews-104327	tabnak-87379	0
fardanews-104327	tabnak-87398	0
fardanews-104327	tabnak-87405	0
fardanews-104327	fardanews-104296	0
fardanews-104327	fardanews-104298	0
fardanews-104327	tabnak-87430	0
fardanews-104327	tabnak-87427	0
fardanews-104327	fardanews-104310	0
fardanews-104327	fardanews-104312	0
tabnak-87481	tabnak-87270	25.5974
tabnak-87481	fardanews-104223	33.6968
tabnak-87481	tabnak-87281	49.767
tabnak-87481	tabnak-87332	35.8724
tabnak-87481	fardanews-104271	-nan
tabnak-87481	tabnak-87369	-nan
tabnak-87481	tabnak-87379	42.2393
tabnak-87481	tabnak-87398	34.0691
tabnak-87481	tabnak-87405	49.8116
tabnak-87481	fardanews-104296	51.6498
tabnak-87481	fardanews-104298	-nan
tabnak-87481	tabnak-87430	-nan
tabnak-87481	tabnak-87427	49.393
tabnak-87481	fardanews-104310	-nan
tabnak-87481	fardanews-104312	47.1176
tabnak-87481	fardanews-104327	-nan
fardanews-104350	tabnak-87270	22.3537
fardanews-104350	fardanews-104223	26.2883
fardanews-104350	tabnak-87281	28.3021
fardanews-104350	tabnak-87332	19.9457
fardanews-104350	fardanews-104271	-nan
fardanews-104350	tabnak-87369	-nan
fardanews-104350	tabnak-87379	33.6696
fardanews-104350	tabnak-87398	17.7363
fardanews-104350	tabnak-87405	57.6595
fardanews-104350	fardanews-104296	45.0943
fardanews-104350	fardanews-104298	-nan
fardanews-104350	tabnak-87430	-nan
fardanews-104350	tabnak-87427	37.2031
fardanews-104350	fardanews-104310	-nan
fardanews-104350	fardanews-104312	36.4462
fardanews-104350	fardanews-104327	-nan
fardanews-104350	tabnak-87481	44.8392
fardanews-104355	tabnak-87270	0
fardanews-104355	fardanews-104223	0
fardanews-104355	tabnak-87281	0
fardanews-104355	tabnak-87332	0
fardanews-104355	fardanews-104271	0
fardanews-104355	tabnak-87369	0
fardanews-104355	tabnak-87379	0
fardanews-104355	tabnak-87398	0
fardanews-104355	tabnak-87405	0
fardanews-104355	fardanews-104296	0
fardanews-104355	fardanews-104298	0
fardanews-104355	tabnak-87430	0
fardanews-104355	tabnak-87427	0
fardanews-104355	fardanews-104310	0
fardanews-104355	fardanews-104312	0
fardanews-104355	fardanews-104327	0
fardanews-104355	tabnak-87481	0
fardanews-104355	fardanews-104350	0
fardanews-104359	tabnak-87270	0
fardanews-104359	fardanews-104223	0
fardanews-104359	tabnak-87281	0
fardanews-104359	tabnak-87332	0
fardanews-104359	fardanews-104271	0
fardanews-104359	tabnak-87369	0
fardanews-104359	tabnak-87379	0
fardanews-104359	tabnak-87398	0
fardanews-104359	tabnak-87405	0
fardanews-104359	fardanews-104296	0
fardanews-104359	fardanews-104298	0
fardanews-104359	tabnak-87430	0
fardanews-104359	tabnak-87427	0
fardanews-104359	fardanews-104310	0
