104223_fardanews,87270_tabnak = 26.5271
87281_tabnak,104223_fardanews = 31.0501
87332_tabnak,104223_fardanews = 26.7509
104271_fardanews,87281_tabnak = 0
87369_tabnak,104223_fardanews = 0
87379_tabnak,104223_fardanews = 32.8847
87398_tabnak,87332_tabnak = 31.6652
87405_tabnak,87369_tabnak = _nan
104296_fardanews,87332_tabnak = 24.1212
104298_fardanews,104223_fardanews = 0
87430_tabnak,87270_tabnak = 0
87427_tabnak,104271_fardanews = _nan
104310_fardanews,87405_tabnak = 0
104312_fardanews,104271_fardanews = _nan
104327_fardanews,104223_fardanews = 0
87481_tabnak,104327_fardanews = _nan
104350_fardanews,87430_tabnak = _nan
104355_fardanews,104350_fardanews = 0
104359_fardanews,104223_fardanews = 0
104364_fardanews,104355_fardanews = 0
104374_fardanews,87270_tabnak = 0
104378_fardanews,87427_tabnak = 0
87502_tabnak,87332_tabnak = 40.0108
104380_fardanews,104223_fardanews = 0
87522_tabnak,104327_fardanews = 0
87545_tabnak,87332_tabnak = 0
104433_fardanews,104223_fardanews = 0
104436_fardanews,87502_tabnak = 0
87574_tabnak,104436_fardanews = _nan
87579_tabnak,104327_fardanews = _nan
104455_fardanews,87379_tabnak = 0
104404_fardanews,87369_tabnak = 0
104469_fardanews,104355_fardanews = 0
104477_fardanews,87369_tabnak = 0
87620_tabnak,104378_fardanews = 0
87632_tabnak,104477_fardanews = _nan
87649_tabnak,104350_fardanews = 0
87658_tabnak,104350_fardanews = 0
104513_fardanews,87658_tabnak = 0
87705_tabnak,87427_tabnak = 50.2373
87712_tabnak,87369_tabnak = _nan
87683_tabnak,104455_fardanews = _nan
104608_fardanews,87712_tabnak = 0
87782_tabnak,87369_tabnak = _nan
87775_tabnak,104404_fardanews = 0
87847_tabnak,87332_tabnak = 0
104653_fardanews,87270_tabnak = 0
87886_tabnak,104653_fardanews = 0
104658_fardanews,87658_tabnak = 0
104678_fardanews,104296_fardanews = 0
87931_tabnak,104513_fardanews = _nan
88029_tabnak,87931_tabnak = 0
88224_tabnak,87712_tabnak = 35.9541
88225_tabnak,88224_tabnak = 0
104870_fardanews,88224_tabnak = 49.7689
88230_tabnak,104223_fardanews = 0
88234_tabnak,87712_tabnak = 52.4263
104883_fardanews,88230_tabnak = 0
104970_fardanews,104658_fardanews = 0
88490_tabnak,87886_tabnak = _nan
88590_tabnak,87931_tabnak = 55.3604
88763_tabnak,104359_fardanews = _nan
105206_fardanews,87649_tabnak = 0
105228_fardanews,88763_tabnak = 0
88889_tabnak,87775_tabnak = _nan
89070_tabnak,87522_tabnak = _nan
105674_fardanews,104970_fardanews = 0
89563_tabnak,105674_fardanews = _nan
106826_fardanews,104870_fardanews = 0
91369_tabnak,106826_fardanews = 0
93354_tabnak,87931_tabnak = 56.8642
93362_tabnak,93354_tabnak = 0
94215_tabnak,105674_fardanews = 0
108413_fardanews,94215_tabnak = 0
108722_fardanews,87270_tabnak = 0
94921_tabnak,87270_tabnak = 14.2728
96175_tabnak,88889_tabnak = 0
99426_tabnak,87683_tabnak = 50.3098
100271_tabnak,104327_fardanews = _nan
111210_fardanews,104350_fardanews = 0
100369_tabnak,111210_fardanews = _nan
111477_fardanews,104970_fardanews = 0
101020_tabnak,111477_fardanews = _nan
101865_tabnak,94215_tabnak = 0
101947_tabnak,104350_fardanews = 0
111958_fardanews,101947_tabnak = 0
104800_tabnak,100271_tabnak = 50.2451
105133_tabnak,87782_tabnak = 53.8369
113538_fardanews,87398_tabnak = 44.9341
105254_tabnak,100271_tabnak = 46.2564
113540_fardanews,87712_tabnak = 41.8317
113547_fardanews,104378_fardanews = 0
113553_fardanews,104327_fardanews = _nan
105329_tabnak,113547_fardanews = _nan
105360_tabnak,105329_tabnak = 52.8449
105417_tabnak,104271_fardanews = 0
113712_fardanews,96175_tabnak = _nan
105517_tabnak,87931_tabnak = 0
105664_tabnak,104653_fardanews = _nan
105853_tabnak,105228_fardanews = 0
114030_fardanews,113538_fardanews = 0
106172_tabnak,104455_fardanews = _nan
115703_fardanews,106172_tabnak = 0
109151_tabnak,88763_tabnak = 0
115739_fardanews,115703_fardanews = _nan
109165_tabnak,105329_tabnak = 0
109168_tabnak,115739_fardanews = 0
121236_tabnak,113553_fardanews = 0
