fardanews_104223	tabnak_87270	26.5271
tabnak_87281	tabnak_87270	27.2907
tabnak_87281	fardanews_104223	31.0501
tabnak_87332	tabnak_87270	22.586
tabnak_87332	fardanews_104223	26.7509
tabnak_87332	tabnak_87281	38.3048
fardanews_104271	tabnak_87270	0
fardanews_104271	fardanews_104223	0
fardanews_104271	tabnak_87281	0
fardanews_104271	tabnak_87332	0
tabnak_87369	tabnak_87270	0
tabnak_87369	fardanews_104223	0
tabnak_87369	tabnak_87281	0
tabnak_87369	tabnak_87332	0
tabnak_87369	fardanews_104271	0
tabnak_87379	tabnak_87270	29.6673
tabnak_87379	fardanews_104223	32.8847
tabnak_87379	tabnak_87281	44.844
tabnak_87379	tabnak_87332	35.2198
tabnak_87379	fardanews_104271	_nan
tabnak_87379	tabnak_87369	_nan
tabnak_87398	tabnak_87270	24.6074
tabnak_87398	fardanews_104223	30.1886
tabnak_87398	tabnak_87281	38.9761
tabnak_87398	tabnak_87332	31.6652
tabnak_87398	fardanews_104271	_nan
tabnak_87398	tabnak_87369	_nan
tabnak_87398	tabnak_87379	38.1496
tabnak_87405	tabnak_87270	46.0649
tabnak_87405	fardanews_104223	47.4165
tabnak_87405	tabnak_87281	52.1981
tabnak_87405	tabnak_87332	47.4065
tabnak_87405	fardanews_104271	_nan
tabnak_87405	tabnak_87369	_nan
tabnak_87405	tabnak_87379	51.1967
tabnak_87405	tabnak_87398	49.8028
fardanews_104296	tabnak_87270	19.4072
fardanews_104296	fardanews_104223	22.069
fardanews_104296	tabnak_87281	37.1062
fardanews_104296	tabnak_87332	24.1212
fardanews_104296	fardanews_104271	_nan
fardanews_104296	tabnak_87369	_nan
fardanews_104296	tabnak_87379	32.1115
fardanews_104296	tabnak_87398	27.5591
fardanews_104296	tabnak_87405	49.7953
fardanews_104298	tabnak_87270	0
fardanews_104298	fardanews_104223	0
fardanews_104298	tabnak_87281	0
fardanews_104298	tabnak_87332	0
fardanews_104298	fardanews_104271	0
fardanews_104298	tabnak_87369	0
fardanews_104298	tabnak_87379	0
fardanews_104298	tabnak_87398	0
fardanews_104298	tabnak_87405	0
fardanews_104298	fardanews_104296	0
tabnak_87430	tabnak_87270	0
tabnak_87430	fardanews_104223	0
tabnak_87430	tabnak_87281	0
tabnak_87430	tabnak_87332	0
tabnak_87430	fardanews_104271	0
tabnak_87430	tabnak_87369	0
tabnak_87430	tabnak_87379	0
tabnak_87430	tabnak_87398	0
tabnak_87430	tabnak_87405	0
tabnak_87430	fardanews_104296	0
tabnak_87430	fardanews_104298	0
tabnak_87427	tabnak_87270	28.4039
tabnak_87427	fardanews_104223	33.4803
tabnak_87427	tabnak_87281	45.6265
tabnak_87427	tabnak_87332	36.8196
tabnak_87427	fardanews_104271	_nan
tabnak_87427	tabnak_87369	_nan
tabnak_87427	tabnak_87379	43.8279
tabnak_87427	tabnak_87398	38.8229
tabnak_87427	tabnak_87405	48.1405
tabnak_87427	fardanews_104296	51.4946
tabnak_87427	fardanews_104298	_nan
tabnak_87427	tabnak_87430	_nan
fardanews_104310	tabnak_87270	0
fardanews_104310	fardanews_104223	0
fardanews_104310	tabnak_87281	0
fardanews_104310	tabnak_87332	0
fardanews_104310	fardanews_104271	0
fardanews_104310	tabnak_87369	0
fardanews_104310	tabnak_87379	0
fardanews_104310	tabnak_87398	0
fardanews_104310	tabnak_87405	0
fardanews_104310	fardanews_104296	0
fardanews_104310	fardanews_104298	0
fardanews_104310	tabnak_87430	0
fardanews_104310	tabnak_87427	0
fardanews_104312	tabnak_87270	22.7288
fardanews_104312	fardanews_104223	25.185
fardanews_104312	tabnak_87281	37.0055
fardanews_104312	tabnak_87332	26.0434
fardanews_104312	fardanews_104271	_nan
fardanews_104312	tabnak_87369	_nan
fardanews_104312	tabnak_87379	37.1243
fardanews_104312	tabnak_87398	30.0382
fardanews_104312	tabnak_87405	53.6272
fardanews_104312	fardanews_104296	44.0704
fardanews_104312	fardanews_104298	_nan
fardanews_104312	tabnak_87430	_nan
fardanews_104312	tabnak_87427	43.4829
fardanews_104312	fardanews_104310	_nan
fardanews_104327	tabnak_87270	0
fardanews_104327	fardanews_104223	0
fardanews_104327	tabnak_87281	0
fardanews_104327	tabnak_87332	0
fardanews_104327	fardanews_104271	0
fardanews_104327	tabnak_87369	0
fardanews_104327	tabnak_87379	0
fardanews_104327	tabnak_87398	0
fardanews_104327	tabnak_87405	0
fardanews_104327	fardanews_104296	0
fardanews_104327	fardanews_104298	0
fardanews_104327	tabnak_87430	0
fardanews_104327	tabnak_87427	0
fardanews_104327	fardanews_104310	0
fardanews_104327	fardanews_104312	0
tabnak_87481	tabnak_87270	25.5974
tabnak_87481	fardanews_104223	33.6968
tabnak_87481	tabnak_87281	49.767
tabnak_87481	tabnak_87332	35.8724
tabnak_87481	fardanews_104271	_nan
tabnak_87481	tabnak_87369	_nan
tabnak_87481	tabnak_87379	42.2393
tabnak_87481	tabnak_87398	34.0691
tabnak_87481	tabnak_87405	49.8116
tabnak_87481	fardanews_104296	51.6498
tabnak_87481	fardanews_104298	_nan
tabnak_87481	tabnak_87430	_nan
tabnak_87481	tabnak_87427	49.393
tabnak_87481	fardanews_104310	_nan
tabnak_87481	fardanews_104312	47.1176
tabnak_87481	fardanews_104327	_nan
fardanews_104350	tabnak_87270	22.3537
fardanews_104350	fardanews_104223	26.2883
fardanews_104350	tabnak_87281	28.3021
fardanews_104350	tabnak_87332	19.9457
fardanews_104350	fardanews_104271	_nan
fardanews_104350	tabnak_87369	_nan
fardanews_104350	tabnak_87379	33.6696
fardanews_104350	tabnak_87398	17.7363
fardanews_104350	tabnak_87405	57.6595
fardanews_104350	fardanews_104296	45.0943
fardanews_104350	fardanews_104298	_nan
fardanews_104350	tabnak_87430	_nan
fardanews_104350	tabnak_87427	37.2031
fardanews_104350	fardanews_104310	_nan
fardanews_104350	fardanews_104312	36.4462
fardanews_104350	fardanews_104327	_nan
fardanews_104350	tabnak_87481	44.8392
fardanews_104355	tabnak_87270	0
fardanews_104355	fardanews_104223	0
fardanews_104355	tabnak_87281	0
fardanews_104355	tabnak_87332	0
fardanews_104355	fardanews_104271	0
fardanews_104355	tabnak_87369	0
fardanews_104355	tabnak_87379	0
fardanews_104355	tabnak_87398	0
fardanews_104355	tabnak_87405	0
fardanews_104355	fardanews_104296	0
fardanews_104355	fardanews_104298	0
fardanews_104355	tabnak_87430	0
fardanews_104355	tabnak_87427	0
fardanews_104355	fardanews_104310	0
fardanews_104355	fardanews_104312	0
fardanews_104355	fardanews_104327	0
fardanews_104355	tabnak_87481	0
fardanews_104355	fardanews_104350	0
fardanews_104359	tabnak_87270	0
fardanews_104359	fardanews_104223	0
fardanews_104359	tabnak_87281	0
fardanews_104359	tabnak_87332	0
fardanews_104359	fardanews_104271	0
fardanews_104359	tabnak_87369	0
fardanews_104359	tabnak_87379	0
fardanews_104359	tabnak_87398	0
fardanews_104359	tabnak_87405	0
fardanews_104359	fardanews_104296	0
fardanews_104359	fardanews_104298	0
fardanews_104359	tabnak_87430	0
fardanews_104359	tabnak_87427	0
fardanews_104359	fardanews_104310	0
