agnecy,id,tag,tf_idf,most_similar_id,most_similar_agency,KLComment,SCS,WMD,time_diff,agency_match
tabnak,80918,New,0,0,0,0,0,,10000000000,0
fardaNews,100599,New,0,80918,tabnak,0,0.42606393,,10800,0
fardaNews,100600,New,0,80918,tabnak,0,0.447129513,,11160,0
fardaNews,100604,New,0.135690134,100599,fardaNews,0,0.593908582,,1980,1
fardaNews,100608,New,0.127468197,100599,fardaNews,0,0.144557391,,5400,1
fardaNews,100626,New,0.02651857,80918,tabnak,0,0.313105867,,20700,0
tabnak,81011,New,0.09106286,100626,fardaNews,0,0.270230109,,3720,0
tabnak,81031,New,0.114208327,80918,tabnak,44.419,0.301321202,,30000,1
tabnak,81035,New,0,80918,tabnak,0,0.422059083,,36960,1
fardaNews,100657,Old,1,81035,tabnak,0,0.994006279,,120,0
tabnak,81043,New,0.187698193,100604,fardaNews,0,0.310703428,,69900,0
fardaNews,100699,New,0.345727914,100600,fardaNews,0,0.433252422,,78420,1
tabnak,81110,Old,1,100699,fardaNews, _nan,0.987980785,,2400,0
fardaNews,100745,New,0,80918,tabnak,0,0.410043973,,102960,0
fardaNews,100758,New,0.488091396,100600,fardaNews,0,0.353795998,,94980,1
tabnak,81163,Old,0.276892008,100758,fardaNews,0,0.997518015,,4080,0
fardaNews,100769,New,0.135625568,100599,fardaNews,0,0.32401925,,99540,1
tabnak,81148,Old,1,100758,fardaNews,0,0.990103864,,4740,0
tabnak,81152,Old,0.446265528,100758,fardaNews,0,0.820652827,,6240,0
fardaNews,100791,New,0.106942447,100699,fardaNews,0,0.362382741,,30900,1
fardaNews,100792,New,0.120315882,100608,fardaNews,0,0.502483593,,104580,1
fardaNews,100793,New,0.375298014,100699,fardaNews, _nan,0.608017801,,31260,1
fardaNews,100819,New,0.249705431,100791,fardaNews,0,0.417242233,,52620,1
tabnak,81240,Old,0.410161846,100819,fardaNews,0,0.488023729,,5880,0
tabnak,81166,New,0.097253503,81152,tabnak, _nan,0.53805805,,79380,1
fardaNews,100852,New,0.103584913,100758,fardaNews,0,0.344034686,,90000,1
tabnak,81288,Old,0.940111094,100852,fardaNews,0,0.986216354,,8340,0
fardaNews,100870,New,0.059875825,81288,tabnak,0,0.317633867,,55440,0
tabnak,81347,New,0.197670317,100758,fardaNews,0,0.351040454,,165480,0
fardaNews,100896,Old,0.842867259,81347,tabnak,0,0.971188653,,1560,0
tabnak,81358,New,0.405251076,81152,tabnak,0,0.472335139,,161700,1
fardaNews,100904,New,0.176441524,100819,fardaNews,0,0.499478923,,111240,1
fardaNews,100907,New,0.72240871,100758,fardaNews,0,0.327992576,,179640,1
tabnak,81366,Old,0.312609218,81152,tabnak,0,0.875716726,,174660,1
tabnak,81659,New,0.250817058,100793,fardaNews,0,0.478697371,,314640,0
fardaNews,101068,New,0.110404803,81240,tabnak,0,0.367803979,,267780,0
fardaNews,101095,New,0.267589569,81358,tabnak, _nan,0.269248414,,181080,0
tabnak,81742,Old,0.037119465,81358,tabnak, _nan,0.966378424,,185040,1
tabnak,81788,New,0.151713314,100769,fardaNews,0,0.475150291,,400260,0
fardaNews,101687,New,0.185829457,81659,tabnak,0,0.460711627,,656340,0
tabnak,82862,Old,0.224367252,100792,fardaNews,0,0.961968896,,975360,0
fardaNews,102423,New,0.331693449,100819,fardaNews,0,0.448657642,,1599420,1
fardaNews,102885,New,0.155880658,81240,tabnak,0,0.513304226,,2024160,0
fardaNews,104032,New,0.278094742,100904,fardaNews,0,0.529722566,,3248400,1
tabnak,103748,New,0.268044938,100608,fardaNews,0,0.476104041,,13130440,0
fardaNews,112775,Old,0.668795507,103748,tabnak, _nan,0.989353573,,2580,0
fardaNews,127017,New,0.268668461,100907,fardaNews, _nan,0.448443052,,27418540,1
fardaNews,127026,New,0.043240166,100819,fardaNews, _nan,0.583807139,,27532960,1
khabaronline,111978,Old,0.707550146,127017,fardaNews,49.2069,0.794874547,,2220,0
khabaronline,111984,New,0.147491864,100819,fardaNews, _nan,0.714676573,,27535060,0
khabaronline,112071,New,0.037716042,100907,fardaNews, _nan,0.895308091,,27434080,0
khabaronline,112061,New,0.117583764,100907,fardaNews, _nan,0.563190542,,27434560,0
khabaronline,112088,New,0.271551128,127017,fardaNews,52.2917,0.393803276,,18180,0
khabaronline,112073,New,0.308510626,81358,tabnak,0,0.403173158,,27449200,0
khabaronline,112086,New,0.147857131,100600,fardaNews, _nan,0.539586245,,27713020,0
khabaronline,112093,New,0.203114972,127026,fardaNews,58.6154,0.426600148,,20460,0
khabaronline,112115,New,0.168787346,100907,fardaNews,0,0.606619414,,27442600,0
khabaronline,112137,New,0.227695637,112071,khabaronline,44.3806,0.587919716,,12120,1
khabaronline,112220,New,0.197063288,112088,khabaronline,54.0327,0.622739703,,25800,1
fardaNews,127098,New,0.379221517,127017,fardaNews,0,0.682377448,,82560,1
fardaNews,127105,New,0.287530449,127017,fardaNews,57.3339,0.733263089,,84360,1
fardaNews,127117,New,0.616162988,81240,tabnak, _nan,0.698119538,,27612340,0
fardaNews,127126,New,0.31221868,127017,fardaNews,53.1124,0.577633547,,88980,1
fardaNews,127154,New,0.462412552,100604,fardaNews, _nan,0.536095221,,27794140,1
fardaNews,127159,New,0.155690104,81659,tabnak,0,0.741751872,,27376900,0
khabaronline,112476,New,0.193980409,127159,fardaNews, _nan,0.490507127,,9960,0
fardaNews,127184,New,0.35648474,100819,fardaNews,0,0.577193617,,27697900,1
fardaNews,127218,New,0.251807792,81788,tabnak, _nan,0.495876316,,27372580,0
fardaNews,127284,New,0.277922968,82862,tabnak,0,0.592501251,,26869600,0
fardaNews,127313,Old,0.513535565,127284,fardaNews,0,0.990676682,,18840,1
khabaronline,112832,New,0.167652671,102423,fardaNews, _nan,0.501053449,,26224540,0
