khabarID	tf_idf	agency_match	time_diff	most_similar_id	most_similar_row
100599	0	0	10800	80918	0
100600	0	0	11160	80918	0
100604	0.135690134	1	1980	100599	1
100608	0.127468197	1	5400	100599	1
100626	0.02651857	0	20700	80918	0
81011	0.09106286	0	3720	100626	5
81031	0.114208327	1	30000	80918	0
81035	0	1	36960	80918	0
100657	1	0	120	81035	8
81043	0.187698193	0	69900	100604	3
100699	0.345727914	1	78420	100600	2
81110	1	0	2400	100699	11
100745	0	0	102960	80918	0
100758	0.488091396	1	94980	100600	2
81163	0.276892008	0	4080	100758	14
100769	0.135625568	1	99540	100599	1
81148	1	0	4740	100758	14
81152	0.446265528	0	6240	100758	14
100791	0.106942447	1	30900	100699	11
100792	0.120315882	1	104580	100608	4
100793	0.375298014	1	31260	100699	11
100819	0.249705431	1	52620	100791	19
81240	0.410161846	0	5880	100819	22
81166	0.097253503	1	79380	81152	18
100852	0.103584913	1	90000	100758	14
81288	0.940111094	0	8340	100852	25
100870	0.059875825	0	55440	81288	26
81347	0.197670317	0	165480	100758	14
100896	0.842867259	0	1560	81347	28
81358	0.405251076	1	161700	81152	18
100904	0.176441524	1	111240	100819	22
100907	0.72240871	1	179640	100758	14
81366	0.312609218	1	174660	81152	18
81659	0.250817058	0	314640	100793	21
101068	0.110404803	0	267780	81240	23
101095	0.267589569	0	181080	81358	30
81742	0.037119465	1	185040	81358	30
81788	0.151713314	0	400260	100769	16
101687	0.185829457	0	656340	81659	34
82862	0.224367252	0	975360	100792	20
102423	0.331693449	1	1599420	100819	22
102885	0.155880658	0	2024160	81240	23
104032	0.278094742	1	3248400	100904	31
103748	0.268044938	0	13130440	100608	4
112775	0.668795507	0	2580	103748	44
127017	0.268668461	1	27418540	100907	32
127026	0.043240166	1	27532960	100819	22
111978	0.707550146	0	2220	127017	46
111984	0.147491864	0	27535060	100819	22
112071	0.037716042	0	27434080	100907	32
112061	0.117583764	0	27434560	100907	32
112088	0.271551128	0	18180	127017	46
112073	0.308510626	0	27449200	81358	30
112086	0.147857131	0	27713020	100600	2
112093	0.203114972	0	20460	127026	47
112115	0.168787346	0	27442600	100907	32
112137	0.227695637	1	12120	112071	50
112220	0.197063288	1	25800	112088	52
127098	0.379221517	1	82560	127017	46
127105	0.287530449	1	84360	127017	46
127117	0.616162988	0	27612340	81240	23
127126	0.31221868	1	88980	127017	46
127154	0.462412552	1	27794140	100604	3
127159	0.155690104	0	27376900	81659	34
112476	0.193980409	0	9960	127159	64
127184	0.35648474	1	27697900	100819	22
127218	0.251807792	0	27372580	81788	38
127284	0.277922968	0	26869600	82862	40
127313	0.513535565	1	18840	127284	68
112832	0.167652671	0	26224540	102423	41
127333	0.187235109	1	160440	127218	67
113060	0.151049249	1	403680	112073	53
127445	0.254757189	1	28057300	100699	11
113481	0.282306478	0	27927400	81366	33
127520	0.453559946	1	73140	127445	73
127545	0.155923999	1	27968500	100870	27
113718	0.070317257	1	534000	112061	51
114179	0.140708646	0	534900	127184	66
128292	0.192846387	0	28758220	80918	0
128305	0.157926269	0	28760260	80918	0
115182	0.149353757	0	28504360	100870	27
128427	1	1	88920	128292	79
115569	0.480459665	0	125880	128292	79
128877	0.343203976	1	528060	128305	80
129947	0.191086357	1	2033940	127184	66
131757	0.332962889	1	27340480	104032	43
121523	0.342622361	0	265440	131757	86
121607	0.11317146	0	30733600	81742	37
132147	0.532670855	0	2978880	113481	74
122234	0.132632391	1	2615520	115182	81
132556	0.268629118	0	31108000	81358	30
122315	0.369834509	0	11040	132556	91
132688	0.129877314	0	30356380	82862	40
122481	0.208557655	1	265440	121607	88
132740	0.36267745	1	3425340	127333	71
132849	0.236694197	1	18382740	112775	45
132966	0.227151167	1	31391680	100819	22
133005	0.233366072	1	29839660	102423	41
133162	0.097827106	0	31699960	81011	6
133214	0.243076899	1	270600	132849	96
133324	0.108093537	1	218160	133005	98
142932	0.183173696	0	4261260	112093	55
143950	0.383598672	0	972060	132966	97
134494	1	0	840	143950	103
144026	0.168997968	1	32113000	81659	34
125426	0.389287915	0	32266540	81366	33
144041	0.197528505	0	754980	133214	100
134657	0.562501526	0	78660	125426	106
144437	0.229524567	0	30582040	102885	42
134807	0.662596278	0	1140	144437	109
144820	0.322311924	0	32821180	100819	22
135183	0.332709367	0	32890360	81240	23
145064	0.233447552	0	1508280	132966	97
136583	0.182135593	1	2301240	133005	98
147492	0.158048565	0	4894380	128877	84
147501	0	1	34192780	80918	0
130117	0.185135169	0	6668880	127026	47
150382	0.265119312	0	3890100	132966	97
132801	0.856138854	0	39900	150382	118
139822	0.242668891	1	8418540	127026	47
151924	1	0	3840	139822	120
138050	0.09774124	1	10146820	112086	54
164940	0.269338147	1	8220940	147492	115
159259	0.217648203	1	17632000	113060	72
172943	0.401307235	0	9060	159259	124
178877	0.191299693	0	48036500	100792	20
164002	0.184497799	0	48166940	100599	1
155797	0.702741449	1	20417500	127117	61
155811	0.489433179	1	35063980	112775	45
179012	1	0	900	155811	129
164060	0.50426462	0	3480	155811	129
155845	0.185010405	0	46260	164002	127
155850	0.242187971	1	3420	155845	132
164099	0.248350375	1	19343860	115569	83
164129	0.290142674	0	11580	155845	132
179170	0.108727693	0	16868740	132556	91
179176	0.35951709	0	19500	164129	135
155894	0.178998565	1	17393260	131757	86
155979	0.400852118	1	48312680	100599	1
179367	0.168465107	0	4200	155979	139
179743	0.273379279	0	20064400	114179	78
179850	0.161296051	0	17294680	121607	88
180004	0.249265995	1	100020	179743	141
180328	0.109063284	0	17554600	121607	88
156500	0.760278305	0	6660	180328	144
157044	0.180560183	0	21369100	112093	55
168962	0.121235761	0	18841420	133214	100
159197	0.083750006	1	50652080	100769	16
169278	0.246715781	0	18967420	133214	100
159210	0.273366322	0	18217060	125426	106
169282	0.193068784	0	50658860	81152	18
185545	0.526429748	0	1920	169278	149
185658	0.299774451	1	50562500	81358	30
170253	0.257699824	1	23457460	112220	58
186791	0.413096662	1	370740	185658	153
159833	1	0	600	186791	155
188584	0.558741289	0	21033100	131757	86
171851	0.185634867	0	51979460	81035	8
191519	0.135093093	0	21625300	132740	95
174189	0.19150883	1	25385620	112093	55
191607	0.442918901	0	60	174189	160
162318	0.223175618	0	960	191607	161
162348	1	0	13620	191607	161
191642	0.38044336	0	18360	174189	160
174224	0.180006998	0	3300	191642	164
201040	0.389331461	0	25149520	132966	97
167886	0.375167917	1	25151500	132966	97
167914	0.101610274	0	56698040	81011	6
203550	0.252288385	0	24792760	135183	112
170136	1	0	3120	203550	169
184854	0.341895927	1	29651620	113718	77
171958	0.128969965	0	58560080	81240	23
171985	0.72133312	1	29992360	128292	79
206312	0.215165806	0	10800780	155894	138
172886	0.450996742	1	30400600	128292	79
206658	0.653470389	0	30406600	128292	79
173080	0.345940583	1	46090720	112775	45
206885	0.463931621	1	78660	206658	176
173099	0.601984288	1	85740	172886	175
173102	1	0	1860	206885	178
206984	0.307233692	1	7349280	188584	157
207100	0.168318193	0	27825160	122481	94
207251	0.282161962	0	30587500	128292	79
173540	0.254171747	0	136020	207100	182
207437	0.653047127	0	5820	173540	184
207459	0.301584565	0	30671020	128292	79
173906	0.184829639	0	58496840	82862	40
208219	0.342614852	1	27185920	143950	103
174255	1	0	720	208219	188
182203	0.417182756	1	35186920	127154	63
182206	0.236591818	0	12223260	185545	152
218859	0.202135935	0	31192660	133214	100
218886	0.518075456	1	3758040	206885	178
182226	0.306609343	0	31013800	142932	102
218903	0.19494622	0	30449800	125426	106
218905	0.100676455	0	6282180	167914	168
182239	0.202426126	0	1380	218905	196
182242	0.157144374	1	13020	182203	190
218926	0.69409889	0	300	182242	198
193656	0.203076815	0	62721440	100907	32
182250	0.259736832	1	7320	182226	194
218938	0.158772019	0	35188420	112476	65
