agency,id,tag,TF.IDF,most_similar_id,most_similar_agency,KL,SCS,WMD,time_diff,KhabarGozaryMatch,NE,KeyWordOverLap(0-25),,c-comment
Khabaronline,162897,new,0,0,0,0,0,10000,10000000,0,0,0,,110
Fardanews,155106,old,0.380084227,162897,Khabaronline,40.2211,0.575878762,3.441384584,3600,0,0,8,,47
Khabaronline,162916,new,0.495691985,155106,Fardanews,38.3366,0.659532575,3.140697617,7740,0,0.123887641,10,,187
Khabaronline,162929,new,0.389999059,162897,Khabaronline,35.8316,0.678004099,3.040860424,15900,1,0.264023145,2,,446
Tabnak,177436,old,0.914326869,162916,Khabaronline,0,0.907687023,1.030854436,5280,0,0.703455644,17,,0
Khabaronline,162959,new,0.361097813,162929,Khabaronline,25.8517,0.655774275,3.006019231,10080,1,0.120791471,4,,145
Tabnak,177460,old,0.982402275,155106,Fardanews,0,0.939404925,0.59591131,22800,0,0.553590843,22,,0
Fardanews,155142,old,0.984485005,162929,Khabaronline,35.4661,0.993110477,0.116161087,11220,0,1,22,,47
Tabnak,177524,new,0.564189676,177436,Tabnak, _nan,0.800931063,2.488782535,33900,0,0.510783569,9,,121
Khabaronline,163052,old,0.59168708,162916,Khabaronline,36.9079,0.79052228,2.306058201,70380,0,0.69208102,6,,50
Khabaronline,163060,new,0.203700631,162929,Khabaronline,29.4325,0.601501278,3.862916131,73980,0,0.087164476,2,,136
Fardanews,155177,old,0.959127338,177436,Tabnak, _nan,0.885737274,0.79154784,73380,0,0.824048668,19,,99
Tabnak,177588,new,0.392186582,162959,Khabaronline,0,0.543285054,3.210449447,66000,1,0.3484994,5,,0
Tabnak,177586,old,0.974769174,177588,Tabnak, _nan,0.964300928,0.682103263,360,1,0.636543305,23,,10
Fardanews,155186,old,0.906708108,163060,Khabaronline,35.4537,0.925253403,0.632855533,2640,0,1,21,,253
Tabnak,177629,old,0.560217952,177524,Tabnak,0,0.715504044,2.682837154,46680,1,0.752618228,7,,0
Khabaronline,163088,new,0.363703579,177629,Tabnak, _nan,0.67998573,3.038457747,7500,0,0.618865267,4,,73
Tabnak,177677,old,0.4802435,155177,Fardanews,0,0.655365556,2.790768686,17460,1,0.26733253,5,,0
