agnecy,id,tag,tf_idf,most_similar_id,most_similar_agency,KLComment,SCS,WMD,time_diff,agency_match
tabnak,87270,New,0,0,0,0,0,10000,10000000,0
fardaNews,104223,New,0.464898453,87270,tabnak,26.5271,0.776845178,3.175550204,2340,0
tabnak,87281,New,0.013959825,104223,fardaNews,31.0501,0.560677493,3.935848057,360,0
tabnak,87332,New,0.084677257,104223,fardaNews,26.7509,0.693681693,3.404518844,11160,0
fardaNews,104271,New,0.069993381,87281,tabnak,0,0.471854774,3.918075848,16440,0
tabnak,87369,Old,0.106293314,104223,fardaNews,0,0.005286581,5.666168046,17100,0
tabnak,87379,New,0.090127526,104223,fardaNews,32.8847,0.582046564,3.533737845,20040,0
tabnak,87398,New,0.341923313,87332,tabnak,31.6652,0.67519391,3.211330813,12000,1
tabnak,87405,New,0.016782476,87369,tabnak,0,0.610102934,3.465412519,7020,1
fardaNews,104296,New,0.250943675,87332,tabnak,24.1212,0.774103878,2.350435236,15660,0
fardaNews,104298,New,0.063594059,104223,fardaNews,0,0.612005085,3.644688152,28020,1
tabnak,87430,New,0.251477819,87270,tabnak,0,0.65203039,3.273097896,33960,1
tabnak,87427,New,0.075597243,104271,fardaNews,0,0.488294284,3.770119591,17340,0
fardaNews,104310,Old,0.621326967,87405,tabnak,0,0.949012891,0.84282479,24360,0
fardaNews,104312,New,0.118760181,104271,fardaNews,0,0.594457215,3.565423337,35040,1
fardaNews,104327,New,0.184858419,104223,fardaNews,0,0.448039164,4.281811062,87900,1
tabnak,87481,Old,1,104327,fardaNews,0,0.967890166,0.148455359,1440,0
fardaNews,104350,New,0.148752318,87430,tabnak,0,0.656399093,3.754418202,62400,0
fardaNews,104355,New,0.158778059,104350,fardaNews,0,0.490239379,3.764455549,720,1
fardaNews,104359,New,0.07138573,104223,fardaNews,0,0.744582073,3.053458878,95520,1
fardaNews,104364,New,0.138487375,104355,fardaNews,0,0.445401898,4.050987555,1860,1
fardaNews,104374,New,0,87270,tabnak,0,0.431151687,4.075711715,101160,0
fardaNews,104378,Old,0.523647205,87427,tabnak,0,0.620652034,3.204806172,65040,0
tabnak,87502,New,0.109275256,87332,tabnak,40.0108,0.743648001,3.280770789,88440,1
fardaNews,104380,Old,0.150295264,104223,fardaNews,0,0.755769889,3.029044959,99960,1
tabnak,87522,New,0.025117698,104327,fardaNews,0,0.625116445,3.593390732,12540,0
tabnak,87545,New,0.178919386,87332,tabnak,0,0.46055593,3.787439634,98160,1
fardaNews,104433,New,0.051311405,104223,fardaNews,0,0.623786067,3.209318518,131580,1
fardaNews,104436,Old,0.215489587,87502,tabnak,0,0.666386533,3.467168529,33120,0
tabnak,87574,Old,1,104436,fardaNews,0,0.935039874,0.698783702,37860,0
tabnak,87579,New,0.018758836,104327,fardaNews,0,0.629598615,3.483491306,84360,0
fardaNews,104455,New,0.194784758,87379,tabnak,0,0.603533633,3.47192745,155580,0
fardaNews,104404,New,0.095049257,87369,tabnak,0,0.625382929,3.662595457,161220,0
fardaNews,104469,Old,0.087867162,104355,fardaNews,0,0.637388148,3.330770269,87840,1
fardaNews,104477,New,0.182031829,87369,tabnak,0,0.520832023,3.935843518,170460,0
tabnak,87620,New,0.266553368,104378,fardaNews,0,0.624194118,3.604623517,94560,0
tabnak,87632,New,0.090349832,104477,fardaNews,0,0.568830468,3.393992175,9900,0
tabnak,87649,Old,0.076332843,104350,fardaNews,0,0.94497994,0.571181325,179640,0
tabnak,87658,New,0.355721381,104350,fardaNews,0,0.787957671,1.887265004,200940,0
fardaNews,104513,Old,0.563247239,87658,tabnak,0,0.992896706,0.054980362,6960,0
tabnak,87705,New,0.168993159,87427,tabnak,50.2373,0.504637756,3.877684819,314520,1
tabnak,87712,Old,0.546535373,87369,tabnak,0,1,0,333300,1
tabnak,87683,New,0.10540947,104455,fardaNews,0,0.613054476,3.563565464,180120,0
fardaNews,104608,New,0.143361561,87712,tabnak,0,0.656205724,3.473051251,16860,0
tabnak,87782,New,0.231549246,87369,tabnak,0,0.634726948,3.6738961,359940,1
tabnak,87775,New,0.177749609,104404,fardaNews,0,0.623401732,3.26021557,216000,0
tabnak,87847,New,0.43173364,87332,tabnak,0,0.436506004,4.114680264,419400,1
fardaNews,104653,New,0,87270,tabnak,0,0.591076012,3.51417718,436920,0
tabnak,87886,Old,0.793573377,104653,fardaNews,0,0.934525214,0.44948242,2220,0
fardaNews,104658,New,0.224243477,87658,tabnak,0,0.648038963,3.765896335,142380,0
fardaNews,104678,New,0.265338921,104296,fardaNews,0,0.660740401,3.226757199,418500,1
tabnak,87931,New,0.453825497,104513,fardaNews,0,0.563643496,3.743365724,143700,0
tabnak,88029,New,0.21471301,87931,tabnak,0,0.569518433,3.690465813,32640,1
tabnak,88224,New,0.140834973,87712,tabnak,35.9541,0.517736029,3.827433762,220980,1
tabnak,88225,Old,0.875227598,88224,tabnak,0,0.717761603,2.15910177,1380,1
fardaNews,104870,Old,0.410414472,88224,tabnak,49.7689,0.522531405,3.501657334,8220,0
tabnak,88230,New,0.261134841,104223,fardaNews,0,0.592799516,3.581163377,602640,0
tabnak,88234,Old,0.186653865,87712,tabnak,52.4263,0.443894177,3.745969121,253620,1
fardaNews,104883,Old,1,88230,tabnak,0,0.985219918,0.126961722,2400,0
fardaNews,104970,New,0.277645205,104658,fardaNews,0,0.276199473,4.190034483,213300,1
