c-comment,tag,TF-IDF,KhabarGozaryMatch,TimeDiff,NE,WMD,,,
110,new,0.089175157,0,6402360,0,10000,,,
47,old,0.380084227,0,3600,0,2.829303101,,,
187,new,0.495691985,0,7740,0.123887641,2.843355645,,,
446,new,0.389999059,1,15900,0.264023145,3.066366965,,,
0,old,0.914326869,0,5280,0.703455644,1.021308249,,,
145,new,0.361097813,1,10080,0.120791471,2.924862173,,,
0,old,0.982402275,0,22800,0.553590843,0.69962533,,,
47,old,0.984485005,0,11220,1,0.080470578,,,
121,new,0.564189676,0,39180,0.510783569,2.443769701,,,
50,old,0.59168708,0,65100,0.69208102,2.278190206,,,
136,new,0.203700631,0,62760,0.087164476,3.638919804,,,
99,old,0.959127338,0,78660,0.824048668,0.528526335,,,
0,new,0.392186582,1,41460,0.3484994,3.084810445,,,
10,old,0.974769174,1,360,0.636543305,0.70059764,,,
253,old,0.906708108,0,2640,1,0.57405257,,,
0,old,0.560217952,1,46680,0.752618228,2.596927691,,,
73,new,0.363703579,0,7500,0.618865267,3.067872955,,,
0,old,0.4802435,1,10260,0.26733253,2.601452582,,,
48,new,0.399506196,0,82920,0.5509244,2.984815539,,,
18,old,0.890164788,0,1560,1,0.349476428,,,
93,old,0.369535894,0,840,0.730664783,2.972751859,,,
413,new,0.603345572,0,3120,0.748405321,2.087543742,,,3.067594294
46,new,0.384710068,1,98640,0.398675389,1141838,,,
25,old,0.956654525,0,13740,0.982003205,0.515501493,,,
0,new,0.173163333,0,90120,1,3.783697222,,,
0,new,0.110502918,1,105480,0.114952823,4.275373958,,,
96,new,0.111840109,0,156780,0.749330635,4.577306239,,,
92,new,0.253948642,0,178260,0.566482773,3.673033787,,,
3,new,0.297282056,1,211440,0.444952144,3.034530044,,,
0,new,0.204022442,0,84600,0.083542594,4.297720743,,,
3,new,0.285889763,1,85680,0.143599553,4.219393342,,,
8,new,0.40095847,0,3240,0.946368827,3.185581359,,,
7,new,0.212154063,0,295440,0.3414736,3.527402678,,,
0,old,0.981318031,0,3120,0.716564379,0.054776611,,,
0,old,1,0,11400,1,0,,,
0,new,0.274560582,0,256200,0.342870897,3.30490148,,,
2,old,0.389797226,0,260760,0.378468521,3.001573561,,,
81,old,0.853888081,0,180,0.678074722,1.268398073,,,
0,old,0.990007674,0,4860,0.92734967,0.155039546,,,
197,old,0.166449553,0,345240,0.233039574,3.479257346,,,
39,old,0.948921201,0,69840,0.906399165,0.449474368,,,
51,old,0.290661814,1,184080,0.49023663,3.597470847,,,
102,new,0.257327047,0,415380,0.541737606,3.431408233,,,
0,old,0.886377139,0,3840,0.984475867,0.444060678,,,
27,old,0.992997531,1,960,1,0.052428125,,,
53,old,0.999248574,0,840,1,0.02538155,,,
0,old,1,0,1260,1,0,,,
0,new,0.216595299,0,432180,0.59001423,4.059325106,,,
11,old,0.299429269,0,297780,0.573733297,3.652192597,,,
78,new,0.253720442,0,478080,0.289017715,3.185953921,,,
49,new,0.187387839,0,547080,0.163603712,3.786829648,,,
0,new,0.302901239,0,181560,0.52119938,3.580538185,,,
62,old,0.769564083,0,4200,1,1.516342795,,,
30,new,0.174996729,1,279900,0.438767274,3.875250107,,,
1,new,0.199047038,1,986700,0.73537958,3.613601809,,,
23,new,0.073304953,0,814740,1,4.197528195,,,
0,old,1,0,3420,1,0,,,
0,new,0.641422224,0,1126140,0.681098208,2.090085558,,,
1,old,0.969526094,0,1500,0.82498187,0.146630878,,,
0,old,0.98559816,1,1620,0.917875515,0.313903636,,,
0,old,0.982147299,0,780,1,0.225916278,,,
