"id","khabar-gozari","c-comment","tag","TF-IDF","TF","IDF","KhabarGozaryMatch","TimeDiff","row id","MaxID","MacIndex"
"7",1141599,"Khabaronline",110,"new",0.089175157,0.228385068,0.079642046,0,6402360,6,928852,2
"8",163323,"Fardanews",47,"old",0.380084227,0.605903164,0.39307885,0,3600,7,1141599,6
"9",1141618,"Khabaronline",187,"new",0.495691985,0.652430312,0.525186524,0,7740,8,163323,7
"10",1141631,"Khabaronline",446,"new",0.389999059,0.603856222,0.407154345,1,15900,9,1141599,6
"11",943361,"Tabnak",0,"old",0.914326869,0.926965164,0.92062402,0,5280,10,1141618,8
"12",1141659,"Khabaronline",145,"new",0.361097813,0.672341789,0.494177386,1,10080,11,1141631,9
"13",943385,"Tabnak",0,"old",0.982402275,0.960934072,0.968462511,0,22800,12,163323,7
"14",163358,"Fardanews",47,"old",0.984485005,0.996968771,0.991294604,0,11220,13,1141631,9
"15",943445,"Tabnak",121,"new",0.564189676,0.786431312,0.666797511,0,39180,14,1141618,8
"16",1141744,"Khabaronline",50,"old",0.59168708,0.724603167,0.521504405,0,65100,15,943361,10
"20",1141752,"Khabaronline",136,"new",0.203700631,0.574363964,0.310234404,0,62760,19,163358,13
"21",163393,"Fardanews",99,"old",0.959127338,0.967916333,0.959499821,0,78660,20,1141618,8
"23",943508,"Tabnak",0,"new",0.392186582,0.605046289,0.428678832,1,41460,22,943445,14
"24",943506,"Tabnak",10,"old",0.974769174,0.967269545,0.980138829,1,360,23,943508,22
"25",163402,"Fardanews",253,"old",0.906708108,0.96061689,0.915335437,0,2640,24,1141752,19
"28",943549,"Tabnak",0,"old",0.560217952,0.676577408,0.598579588,1,46680,27,943445,14
"29",1141775,"Khabaronline",73,"new",0.363703579,0.65485749,0.466958724,0,7500,28,943549,27
"30",943593,"Tabnak",0,"old",0.4802435,0.625917457,0.506358541,1,10260,29,943549,27
"31",943601,"Tabnak",48,"new",0.399506196,0.599178287,0.447931735,0,82920,30,1141659,11
"32",1141800,"Khabaronline",18,"old",0.890164788,0.931489264,0.90334526,0,1560,31,943593,29
"33",1141798,"Khabaronline",93,"old",0.369535894,0.651474909,0.45042058,0,840,32,943601,30
"34",1141806,"Khabaronline",413,"new",0.603345572,0.725794851,0.626358161,0,3120,33,943593,29
"36",1141838,"Khabaronline",46,"new",0.384710068,0.624442711,0.519883061,1,98640,35,1141659,11
"37",163472,"Fardanews",25,"old",0.956654525,0.974242679,0.969466882,0,13740,36,1141838,35
"40",943776,"Tabnak",0,"new",0.173163333,0.484939895,0.208154725,0,90120,39,163402,24
"41",1141920,"Khabaronline",0,"new",0.110502918,0.312652173,0.132271456,1,105480,40,1141744,15
"49",1142008,"Khabaronline",96,"new",0.111840109,0.21728995,0.108622396,0,156780,48,943445,14
"50",163595,"Fardanews",92,"new",0.253948642,0.509243549,0.324437348,0,178260,49,943445,14
"52",944012,"Tabnak",3,"new",0.297282056,0.649061017,0.398980194,1,211440,51,943445,14
"54",944099,"Tabnak",0,"new",0.204022442,0.41186001,0.286581387,0,84600,53,1141958,45
"55",1142134,"Khabaronline",3,"new",0.285889763,0.495586961,0.336330795,1,85680,54,1141958,45
"56",1142140,"Khabaronline",8,"new",0.40095847,0.537061761,0.451145194,0,3240,55,944099,53
"61",163703,"Fardanews",7,"new",0.212154063,0.538952131,0.301073409,0,295440,60,943445,14
"63",944271,"Tabnak",0,"old",0.981318031,0.997962784,0.990247432,0,3120,62,163703,60
"66",944301,"Tabnak",0,"old",1,1,1,0,11400,65,163703,60
"68",944346,"Tabnak",0,"new",0.274560582,0.581773023,0.404274092,0,256200,67,1141806,33
"69",163749,"Fardanews",2,"old",0.389797226,0.606868444,0.472938464,0,260760,68,943593,29
