c.comment,TF.IDF,KhabarGozaryMatch,TimeDiff,NE,KeyWordOverLap(0-25),WMD,tag
110,0.089175157,0,6402360,0,0,10000,new
47,0.380084227,0,3600,0,8,2.829303101,old
187,0.495691985,0,7740,0.123887641,10,2.843355645,new
446,0.389999059,1,15900,0.264023145,2,3.066366965,new
0,0.914326869,0,5280,0.703455644,17,1.021308249,old
145,0.361097813,1,10080,0.120791471,4,2.924862173,new
0,0.982402275,0,22800,0.553590843,22,0.69962533,old
47,0.984485005,0,11220,1,22,0.080470578,old
121,0.564189676,0,39180,0.510783569,9,2.443769701,new
50,0.59168708,0,65100,0.69208102,6,2.278190206,old
136,0.203700631,0,62760,0.087164476,2,3.638919804,new
99,0.959127338,0,78660,0.824048668,19,0.528526335,old
0,0.392186582,1,41460,0.3484994,5,3.084810445,new
10,0.974769174,1,360,0.636543305,23,0.70059764,old
253,0.906708108,0,2640,1,21,0.57405257,old
0,0.560217952,1,46680,0.752618228,7,2.596927691,old
73,0.363703579,0,7500,0.618865267,4,3.067872955,new
0,0.4802435,1,10260,0.26733253,5,2.601452582,old
48,0.399506196,0,82920,0.5509244,8,2.984815539,new
18,0.890164788,0,1560,1,20,0.349476428,old
93,0.369535894,0,840,0.730664783,8,2.972751859,old
413,0.603345572,0,3120,0.748405321,7,2.087543742,new
46,0.384710068,1,98640,0.398675389,7,3.067594294,new
25,0.956654525,0,13740,0.982003205,20,0.515501493,old
0,0.173163333,0,90120,1,2,3.783697222,new
0,0.110502918,1,105480,0.114952823,0,4.275373958,new
96,0.111840109,0,156780,0.749330635,0,4.577306239,new
92,0.253948642,0,178260,0.566482773,2,3.673033787,new
3,0.297282056,1,211440,0.444952144,1,3.034530044,new
0,0.204022442,0,84600,0.083542594,4,4.297720743,new
3,0.285889763,1,85680,0.143599553,5,4.219393342,new
8,0.40095847,0,3240,0.946368827,5,3.185581359,new
7,0.212154063,0,295440,0.3414736,2,3.527402678,new
0,0.981318031,0,3120,0.716564379,22,0.054776611,old
0,1,0,11400,1,25,0,old
0,0.274560582,0,256200,0.342870897,3,3.30490148,new
2,0.389797226,0,260760,0.378468521,7,3.001573561,old
81,0.853888081,0,180,0.678074722,20,1.268398073,old
0,0.990007674,0,4860,0.92734967,24,0.155039546,old
197,0.166449553,0,345240,0.233039574,2,3.479257346,old
39,0.948921201,0,69840,0.906399165,22,0.449474368,old
51,0.290661814,1,184080,0.49023663,2,3.597470847,old
102,0.257327047,0,415380,0.541737606,1,3.431408233,new
0,0.886377139,0,3840,0.984475867,16,0.444060678,old
27,0.992997531,1,960,1,24,0.052428125,old
53,0.999248574,0,840,1,24,0.02538155,old
0,1,0,1260,1,25,0,old
0,0.216595299,0,432180,0.59001423,4,4.059325106,new
11,0.299429269,0,297780,0.573733297,3,3.652192597,old
78,0.253720442,0,478080,0.289017715,4,3.185953921,new
49,0.187387839,0,547080,0.163603712,2,3.786829648,new
0,0.302901239,0,181560,0.52119938,8,3.580538185,new
62,0.769564083,0,4200,1,19,1.516342795,old
30,0.174996729,1,279900,0.438767274,3,3.875250107,new
1,0.199047038,1,986700,0.73537958,0,3.613601809,new
23,0.073304953,0,814740,1,0,4.197528195,new
0,1,0,3420,1,25,0,old
0,0.641422224,0,1126140,0.681098208,11,2.090085558,new
1,0.969526094,0,1500,0.82498187,24,0.146630878,old
0,0.98559816,1,1620,0.917875515,23,0.313903636,old
0,0.982147299,0,780,1,22,0.225916278,old
0,0.194860823,1,13380,0.295026132,3,3.656751547,old
4,0.990970171,0,120,0.948836322,22,0.389588633,old
0,0.998944253,0,3900,1,25,0.032646175,old
6,0.996715081,0,5160,0.919071755,25,0.026057652,old
57,0.340807593,0,1281180,0.534654339,3,2.889183115,new
0,0.925253201,0,13980,0.987484174,24,0.374694482,old
2,0.260639182,1,1447980,0.157322356,3,3.346782734,new
6,0.917141473,1,100500,1,22,0.658888621,old
0,0.951015493,0,18300,0.660302286,21,0.755906331,old
1,0.200790607,1,1828560,0.352437281,3,3.806806748,new
10,0.995081601,1,300,1,25,0.075956443,old
0,0.335278294,1,140400,0.451173926,6,2.946058002,new
24,0.256187097,0,2347740,0.462750773,4,3.336938684,new
0,0.940599693,0,1260,0.977908615,19,0.928470461,old
0,0.276557259,0,2462160,0.426526097,3,3.322701015,new
0,1,0,6420,1,25,0,old
13,0.604888645,0,17820,0.520399198,12,2.018711384,old
0,0.90135671,0,660,1,22,0.695927517,old
2,0.963737646,0,24300,1,23,0.135877836,old
