theta,true-positive,false-alarm,miss-detection,true-negative,p-miss,p-fa,,cost,0.014883721
0,43,61,0,0,0,1,,0.098,
0.001,43,49,0,12,0,0.803278689,,0.078721311,
0.002,43,48,0,13,0,0.786885246,,0.077114754,
0.003,43,47,0,14,0,0.770491803,,0.075508197,
0.004,43,45,0,16,0,0.737704918,,0.072295082,
0.005,43,44,0,17,0,0.721311475,,0.070688525,
0.006,43,44,0,17,0,0.721311475,,0.070688525,
0.007,43,43,0,18,0,0.704918033,,0.069081967,
0.008,43,43,0,18,0,0.704918033,,0.069081967,
0.009,43,42,0,19,0,0.68852459,,0.06747541,
0.01,43,42,0,19,0,0.68852459,,0.06747541,
0.011,43,42,0,19,0,0.68852459,,0.06747541,
0.012,43,42,0,19,0,0.68852459,,0.06747541,
0.013,43,41,0,20,0,0.672131148,,0.065868852,
0.014,43,41,0,20,0,0.672131148,,0.065868852,
0.015,43,40,0,21,0,0.655737705,,0.064262295,
0.016,43,40,0,21,0,0.655737705,,0.064262295,
0.017,43,39,0,22,0,0.639344262,,0.062655738,
0.018,43,39,0,22,0,0.639344262,,0.062655738,
0.019,43,39,0,22,0,0.639344262,,0.062655738,
0.02,43,38,0,23,0,0.62295082,,0.06104918,
0.021,43,38,0,23,0,0.62295082,,0.06104918,
0.022,43,38,0,23,0,0.62295082,,0.06104918,
0.023,43,38,0,23,0,0.62295082,,0.06104918,
0.024,43,38,0,23,0,0.62295082,,0.06104918,
0.025,43,38,0,23,0,0.62295082,,0.06104918,
0.026,43,37,0,24,0,0.606557377,,0.059442623,
0.027,43,36,0,25,0,0.590163934,,0.057836066,
0.028,43,36,0,25,0,0.590163934,,0.057836066,
0.029,43,36,0,25,0,0.590163934,,0.057836066,
0.03,43,36,0,25,0,0.590163934,,0.057836066,
0.031,43,36,0,25,0,0.590163934,,0.057836066,
0.032,43,36,0,25,0,0.590163934,,0.057836066,
0.033,43,34,0,27,0,0.557377049,,0.054622951,
0.034,43,34,0,27,0,0.557377049,,0.054622951,
0.035,43,34,0,27,0,0.557377049,,0.054622951,
0.036,43,34,0,27,0,0.557377049,,0.054622951,
0.037,43,33,0,28,0,0.540983607,,0.053016393,
