theta,true-positive,false-alarm,miss-detection,true-negative,p-miss,p-fa,costDet
0.0,43,61,0,0,0.0,1.0,0.098
0.001,43,50,0,11,0.0,0.819672131147541,0.08032786885245902
0.002,43,49,0,12,0.0,0.8032786885245902,0.07872131147540984
0.003,43,49,0,12,0.0,0.8032786885245902,0.07872131147540984
0.004,43,48,0,13,0.0,0.7868852459016393,0.07711475409836066
0.005,43,47,0,14,0.0,0.7704918032786885,0.07550819672131147
0.006,43,47,0,14,0.0,0.7704918032786885,0.07550819672131147
0.007,43,47,0,14,0.0,0.7704918032786885,0.07550819672131147
0.008,43,46,0,15,0.0,0.7540983606557377,0.0739016393442623
0.009,43,46,0,15,0.0,0.7540983606557377,0.0739016393442623
0.01,43,44,0,17,0.0,0.7213114754098361,0.07068852459016393
0.011,43,44,0,17,0.0,0.7213114754098361,0.07068852459016393
0.012,43,44,0,17,0.0,0.7213114754098361,0.07068852459016393
0.013,43,44,0,17,0.0,0.7213114754098361,0.07068852459016393
0.014,43,44,0,17,0.0,0.7213114754098361,0.07068852459016393
0.015,43,43,0,18,0.0,0.7049180327868853,0.06908196721311476
0.016,43,42,0,19,0.0,0.6885245901639344,0.06747540983606558
0.017,43,42,0,19,0.0,0.6885245901639344,0.06747540983606558
0.018,43,40,0,21,0.0,0.6557377049180327,0.06426229508196722
0.019,43,39,0,22,0.0,0.639344262295082,0.06265573770491804
0.02,43,39,0,22,0.0,0.639344262295082,0.06265573770491804
0.021,43,39,0,22,0.0,0.639344262295082,0.06265573770491804
0.022,43,39,0,22,0.0,0.639344262295082,0.06265573770491804
0.023,43,39,0,22,0.0,0.639344262295082,0.06265573770491804
0.024,43,39,0,22,0.0,0.639344262295082,0.06265573770491804
0.025,43,39,0,22,0.0,0.639344262295082,0.06265573770491804
0.026,43,38,0,23,0.0,0.6229508196721312,0.06104918032786885
0.027,43,38,0,23,0.0,0.6229508196721312,0.06104918032786885
0.028,43,38,0,23,0.0,0.6229508196721312,0.06104918032786885
0.029,43,38,0,23,0.0,0.6229508196721312,0.06104918032786885
0.03,43,38,0,23,0.0,0.6229508196721312,0.06104918032786885
0.031,43,37,0,24,0.0,0.6065573770491803,0.059442622950819674
0.032,43,37,0,24,0.0,0.6065573770491803,0.059442622950819674
0.033,43,37,0,24,0.0,0.6065573770491803,0.059442622950819674
0.034,43,37,0,24,0.0,0.6065573770491803,0.059442622950819674
0.035,43,37,0,24,0.0,0.6065573770491803,0.059442622950819674
0.036,43,37,0,24,0.0,0.6065573770491803,0.059442622950819674
0.037,43,36,0,25,0.0,0.5901639344262295,0.057836065573770495
0.038,43,36,0,25,0.0,0.5901639344262295,0.057836065573770495
0.039,43,36,0,25,0.0,0.5901639344262295,0.057836065573770495
0.04,43,36,0,25,0.0,0.5901639344262295,0.057836065573770495
0.041,43,35,0,26,0.0,0.5737704918032787,0.05622950819672131
0.042,43,35,0,26,0.0,0.5737704918032787,0.05622950819672131
0.043,43,35,0,26,0.0,0.5737704918032787,0.05622950819672131
0.044,43,34,0,27,0.0,0.5573770491803278,0.05462295081967213
0.045,43,34,0,27,0.0,0.5573770491803278,0.05462295081967213
0.046,43,34,0,27,0.0,0.5573770491803278,0.05462295081967213
0.047,43,34,0,27,0.0,0.5573770491803278,0.05462295081967213
0.048,43,33,0,28,0.0,0.5409836065573771,0.053016393442622954
0.049,43,32,0,29,0.0,0.5245901639344263,0.051409836065573776
0.05,43,32,0,29,0.0,0.5245901639344263,0.051409836065573776
0.051,43,32,0,29,0.0,0.5245901639344263,0.051409836065573776
0.052,43,31,0,30,0.0,0.5081967213114754,0.0498032786885246
0.053,43,31,0,30,0.0,0.5081967213114754,0.0498032786885246
0.054,43,31,0,30,0.0,0.5081967213114754,0.0498032786885246
0.055,43,31,0,30,0.0,0.5081967213114754,0.0498032786885246
0.056,43,31,0,30,0.0,0.5081967213114754,0.0498032786885246
0.057,43,31,0,30,0.0,0.5081967213114754,0.0498032786885246
0.058,43,31,0,30,0.0,0.5081967213114754,0.0498032786885246
0.059,43,31,0,30,0.0,0.5081967213114754,0.0498032786885246
0.06,43,30,0,31,0.0,0.4918032786885246,0.048196721311475406
0.061,43,30,0,31,0.0,0.4918032786885246,0.048196721311475406
0.062,43,30,0,31,0.0,0.4918032786885246,0.048196721311475406
0.063,43,30,0,31,0.0,0.4918032786885246,0.048196721311475406
0.064,43,30,0,31,0.0,0.4918032786885246,0.048196721311475406
0.065,43,30,0,31,0.0,0.4918032786885246,0.048196721311475406
0.066,43,30,0,31,0.0,0.4918032786885246,0.048196721311475406
0.067,43,30,0,31,0.0,0.4918032786885246,0.048196721311475406
0.068,43,30,0,31,0.0,0.4918032786885246,0.048196721311475406
0.069,43,30,0,31,0.0,0.4918032786885246,0.048196721311475406
