theta,true-positive,false-alarm,miss-detection,true-negative,p-miss,p-fa
0.0,43,61,0,0,0.0,1.0
0.001,43,50,0,11,0.0,0.819672131147541
0.002,43,49,0,12,0.0,0.8032786885245902
0.003,43,49,0,12,0.0,0.8032786885245902
0.004,43,48,0,13,0.0,0.7868852459016393
0.005,43,47,0,14,0.0,0.7704918032786885
0.006,43,47,0,14,0.0,0.7704918032786885
0.007,43,47,0,14,0.0,0.7704918032786885
0.008,43,46,0,15,0.0,0.7540983606557377
0.009,43,46,0,15,0.0,0.7540983606557377
0.01,43,44,0,17,0.0,0.7213114754098361
0.011,43,44,0,17,0.0,0.7213114754098361
0.012,43,44,0,17,0.0,0.7213114754098361
0.013,43,44,0,17,0.0,0.7213114754098361
0.014,43,44,0,17,0.0,0.7213114754098361
0.015,43,43,0,18,0.0,0.7049180327868853
0.016,43,42,0,19,0.0,0.6885245901639344
0.017,43,42,0,19,0.0,0.6885245901639344
0.018,43,40,0,21,0.0,0.6557377049180327
0.019,43,39,0,22,0.0,0.639344262295082
0.02,43,39,0,22,0.0,0.639344262295082
0.021,43,39,0,22,0.0,0.639344262295082
0.022,43,39,0,22,0.0,0.639344262295082
0.023,43,39,0,22,0.0,0.639344262295082
0.024,43,39,0,22,0.0,0.639344262295082
0.025,43,39,0,22,0.0,0.639344262295082
0.026,43,38,0,23,0.0,0.6229508196721312
0.027,43,38,0,23,0.0,0.6229508196721312
0.028,43,38,0,23,0.0,0.6229508196721312
0.029,43,38,0,23,0.0,0.6229508196721312
0.03,43,38,0,23,0.0,0.6229508196721312
0.031,43,37,0,24,0.0,0.6065573770491803
0.032,43,37,0,24,0.0,0.6065573770491803
0.033,43,37,0,24,0.0,0.6065573770491803
0.034,43,37,0,24,0.0,0.6065573770491803
0.035,43,37,0,24,0.0,0.6065573770491803
0.036,43,37,0,24,0.0,0.6065573770491803
0.037,43,36,0,25,0.0,0.5901639344262295
0.038,43,36,0,25,0.0,0.5901639344262295
0.039,43,36,0,25,0.0,0.5901639344262295
0.04,43,36,0,25,0.0,0.5901639344262295
0.041,43,35,0,26,0.0,0.5737704918032787
0.042,43,35,0,26,0.0,0.5737704918032787
0.043,43,35,0,26,0.0,0.5737704918032787
0.044,43,34,0,27,0.0,0.5573770491803278
0.045,43,34,0,27,0.0,0.5573770491803278
0.046,43,34,0,27,0.0,0.5573770491803278
0.047,43,34,0,27,0.0,0.5573770491803278
0.048,43,33,0,28,0.0,0.5409836065573771
0.049,43,32,0,29,0.0,0.5245901639344263
0.05,43,32,0,29,0.0,0.5245901639344263
0.051,43,32,0,29,0.0,0.5245901639344263
0.052,43,31,0,30,0.0,0.5081967213114754
0.053,43,31,0,30,0.0,0.5081967213114754
0.054,43,31,0,30,0.0,0.5081967213114754
0.055,43,31,0,30,0.0,0.5081967213114754
0.056,43,31,0,30,0.0,0.5081967213114754
0.057,43,31,0,30,0.0,0.5081967213114754
0.058,43,31,0,30,0.0,0.5081967213114754
0.059,43,31,0,30,0.0,0.5081967213114754
0.06,43,30,0,31,0.0,0.4918032786885246
0.061,43,30,0,31,0.0,0.4918032786885246
0.062,43,30,0,31,0.0,0.4918032786885246
0.063,43,30,0,31,0.0,0.4918032786885246
0.064,43,30,0,31,0.0,0.4918032786885246
0.065,43,30,0,31,0.0,0.4918032786885246
0.066,43,30,0,31,0.0,0.4918032786885246
0.067,43,30,0,31,0.0,0.4918032786885246
0.068,43,30,0,31,0.0,0.4918032786885246
0.069,43,30,0,31,0.0,0.4918032786885246
0.07,43,30,0,31,0.0,0.4918032786885246
0.071,43,30,0,31,0.0,0.4918032786885246
0.072,43,30,0,31,0.0,0.4918032786885246
0.073,43,30,0,31,0.0,0.4918032786885246
0.074,43,30,0,31,0.0,0.4918032786885246
0.075,43,29,0,32,0.0,0.47540983606557374
0.076,43,29,0,32,0.0,0.47540983606557374
0.077,43,28,0,33,0.0,0.45901639344262296
0.078,43,28,0,33,0.0,0.45901639344262296
0.079,43,28,0,33,0.0,0.45901639344262296
0.08,43,28,0,33,0.0,0.45901639344262296
0.081,43,28,0,33,0.0,0.45901639344262296
0.082,43,28,0,33,0.0,0.45901639344262296
0.083,43,27,0,34,0.0,0.4426229508196721
0.084,43,27,0,34,0.0,0.4426229508196721
0.085,43,27,0,34,0.0,0.4426229508196721
0.086,43,26,0,35,0.0,0.4262295081967213
0.087,43,26,0,35,0.0,0.4262295081967213
0.088,43,26,0,35,0.0,0.4262295081967213
