theta,true-positive,false-alarm,miss-detection,true-negative,p-miss,p-fa
0,34,70,0,0,0,1
0.001,34,59,0,11,0,0.842857143
0.002,34,58,0,12,0,0.828571429
0.003,34,58,0,12,0,0.828571429
0.004,34,57,0,13,0,0.814285714
0.005,34,56,0,14,0,0.8
0.006,34,56,0,14,0,0.8
0.007,34,56,0,14,0,0.8
0.008,34,55,0,15,0,0.785714286
0.009,34,55,0,15,0,0.785714286
0.01,34,53,0,17,0,0.757142857
0.011,34,53,0,17,0,0.757142857
0.012,34,53,0,17,0,0.757142857
0.013,34,53,0,17,0,0.757142857
0.014,34,53,0,17,0,0.757142857
0.015,34,52,0,18,0,0.742857143
0.016,34,51,0,19,0,0.728571429
0.017,34,51,0,19,0,0.728571429
0.018,34,49,0,21,0,0.7
0.019,34,48,0,22,0,0.685714286
0.02,34,48,0,22,0,0.685714286
0.021,34,48,0,22,0,0.685714286
0.022,34,48,0,22,0,0.685714286
0.023,34,48,0,22,0,0.685714286
0.024,34,48,0,22,0,0.685714286
0.025,34,48,0,22,0,0.685714286
0.026,34,47,0,23,0,0.671428571
0.027,34,47,0,23,0,0.671428571
0.028,34,47,0,23,0,0.671428571
0.029,34,47,0,23,0,0.671428571
0.03,34,47,0,23,0,0.671428571
0.031,34,46,0,24,0,0.657142857
0.032,34,46,0,24,0,0.657142857
0.033,34,46,0,24,0,0.657142857
0.034,34,46,0,24,0,0.657142857
0.035,34,46,0,24,0,0.657142857
0.036,34,46,0,24,0,0.657142857
0.037,34,45,0,25,0,0.642857143
0.038,34,45,0,25,0,0.642857143
0.039,34,45,0,25,0,0.642857143
0.04,34,45,0,25,0,0.642857143
0.041,34,44,0,26,0,0.628571429
0.042,34,44,0,26,0,0.628571429
0.043,34,44,0,26,0,0.628571429
0.044,34,43,0,27,0,0.614285714
0.045,34,43,0,27,0,0.614285714
0.046,34,43,0,27,0,0.614285714
0.047,34,43,0,27,0,0.614285714
0.048,34,42,0,28,0,0.6
0.049,34,41,0,29,0,0.585714286
0.05,34,41,0,29,0,0.585714286
0.051,34,41,0,29,0,0.585714286
0.052,34,40,0,30,0,0.571428571
0.053,34,40,0,30,0,0.571428571
0.054,34,40,0,30,0,0.571428571
0.055,34,40,0,30,0,0.571428571
0.056,34,40,0,30,0,0.571428571
0.057,34,40,0,30,0,0.571428571
0.058,34,40,0,30,0,0.571428571
0.059,34,40,0,30,0,0.571428571
0.06,34,39,0,31,0,0.557142857
0.061,34,39,0,31,0,0.557142857
0.062,34,39,0,31,0,0.557142857
0.063,34,39,0,31,0,0.557142857
0.064,34,39,0,31,0,0.557142857
0.065,34,39,0,31,0,0.557142857
0.066,34,39,0,31,0,0.557142857
